"filename", "language", "JavaScript", "SQL", "HTML", "Markdown", "JSON with Comments", "JSON", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rStartsClient.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 63
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\rStartsInGroupClient.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 91
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\roomClient.js", "JavaScript", 656, 0, 0, 0, 0, 0, 0, 0, 0, 380, 253, 1289
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\roomManager - 2021-06-02 vue2.js", "JavaScript", 199, 0, 0, 0, 0, 0, 0, 0, 0, 375, 100, 674
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\roomManager.js", "JavaScript", 343, 0, 0, 0, 0, 0, 0, 0, 0, 235, 99, 677
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\setLang.html", "HTML", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\styling.css", "CSS", 0, 0, 0, 0, 0, 0, 819, 0, 0, 80, 75, 974
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\testCssAnimation.html", "HTML", 0, 0, 132, 0, 0, 0, 0, 0, 0, 3, 13, 148
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\testVueMulti.html", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\testVueMulti2.html", "HTML", 0, 0, 63, 0, 0, 0, 0, 0, 0, 5, 9, 77
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\track.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 27, 12, 98
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\trackTest.html", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 2, 16
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\v-mask.js", "JavaScript", 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 519
"c:\Users\Reto\Documents\Reto\Programmieren\liveAthletics\AppFolder\static\v-mask.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
